isbn,title,subtitle,authors,publisher,publishedDate,description,pageCount,categories,language
1857997492,The Birds,,Daphne Dunaurier,,1996-01-01,Theatre program.,58,English fiction,en
0812502124,Prentice Alvin,The Tales of Alvin Maker,Orson Scott Card,Macmillan,1989,Alvin returns to his birthplace to become the blacksmith's apprentice and also to learn--hopefully with the help of the Torch-girl--to be a Maker. Reissue.,351,Fiction,en
0345330153,"Waldo & Magic, Inc",,Robert Anson Heinlein,Del Rey,1986,"North Power-Air was in trouble. Their aircraft had begun to crash at an alarming rate, and no one could figure out what was going wrong. Desperate for an answer, they turned to Waldo, the crippled genius who lived in a zero-g home in orbit around Earth. But Waldo had little reason to want to help the rest of humanity -- until he learned that the solution to their problems also held the key to his own... Magic, Inc. Under the guise of an agency for magicians, Magic, Inc. was systematically squeezing out the small independent magicians. Then one businessman stood firm. With the help of an Oxford-educated African shaman and a little old lady adept at black magic, he went straight to the demons of Hell to resolve the problem -- once and for all!",314,Magic,en
0140298460,Self-Nurture,Learning to Care for Yourself As Effectively As You Care for Everyone Else,"Alice D. Domar, Henry Dreher",Penguin,2001-04-01,"Everyone knows someone who needs this book Think about how you feel at the end of a day when you find your first free moment so late in the evening that you're too exhausted to enjoy it. If you've had too many days like this, find the help you need to transform your life in Self-Nurture. Harvard psychologist Alice D. Domar, Ph.D., shows you how to restructure your life in a way that lets you breathe. Here are inspiring stories, easy-to-follow exercises, and meditations that will shift your focus from self-sacrifice to self-care. Written with wisdom and humor, Self-Nurture will empower you to develop the same fierce and tender concern for yourself that you've always given to those you love--a gift for anyone who needs to learn the art of self-care. To listen to an interview with Alice Domar, check out www.TalktoTara.com",321,Self-Help,en
0722538820,Head on and Repossesed,,Julian Cope,HarperThorsons,1999,"In 1995, rock'n'roll druid Julian Cope self-published his searingly honest autobiography Head On. This book continues the story from the time Julian left the punk band The Teardrop Explodes.",0,Punk rock music,en
0340703601,Asterix and Obelix All at Sea,,"René Goscinny, Albert Uderzo",Distribooks Incorporated,1997-10-22,"In ancient Rome, the slaves are rebelling--and they've even stolen Julius Caesar's own warship, the finest in the Roman navy. Under the heroic leadership of Spartakis, the former galley slaves make for the small town where Caesar's old enemies Asterix and Obelix live. Now everyone must sail to the wonderful continent of Atlantis to find a cure. But, the Romans are on the ocean blue, too...and the battles are about to come fast and furiously.",48,Juvenile Fiction,en
0671468359,The Dude Ranger,,Zane Grey,,1982-11-03,"Ernest Selby was a tenderfoot, up against Arizona's smoothest dirty dealing cattle rustlers.",239,American fiction,en
0345305930,Deryni Checkmate,,Katherine Kurtz,Del Rey,1981-12-12,"""In order to claim the throne of Gwynedd, young Kelson Haldane had to reveal his magical Deryni powers, putting him at odds with the most powerful clerics in the land, who view the Deryni as agents of evil."" ""One such man - Archbishop Loris - has dedicated himself to the eradication of the Deryni. In a ruthless campaign of persecution against them, Loris targets one of the proudest Deryni in all the land: Kelson's most trusted friend and advisor, Duke Alaric Morgan."" ""While Morgan fights for his reputation - and his very life - a rogue Deryni has been honing his powers to use as a weapon against all of humanity, putting all of the Deryni at risk. Outright war is in the offing. And as the different factions of Gwynedd battle each other, the young Kelson must find within himself the strength to keep his kingdom from falling apart.""--BOOK JACKET.",324,Fantasy fiction,en
0814477607,The Time Trap,,Alec Mackenzie,,1991-01,"The bible of time management, The Time Trap struck such a chord among harried workers worldwide that the first edition sold more than half a million copies in paperback and was translated into 13 languages. Now this 20-year classic has been thoroughly updated for the PC generation--this powerful guide centers on the 20 biggest time wasters and how you can overcome them.",228,Time management,en
0385484283,The Bear Went Over the Mountain,,William Kotzwinkle,Doubleday Books,1996,"The bestselling author of ""The Fan Man"" and ""E.T.: The Extraterrestrial"" does it again--with the story of Hal Jam, a big black bear who finds a manuscript under a tree in the Maine woods, dons a suit and tie, and heads off to the big city to seek his fame and fortune. ""The Bear Went Over the Mountain"" captures the zeitgeist of the 1990s dead on in a delicious bedtime story for grownups.",328,Authors and publishers,en
0786845503,Lizzie McGuire #11: On the Job,,,Disney Press,2004-01-02,"Lizzie gets a job at her favorite store, the Digital Bean, when she finds that her allowance isn't even enough to cover the necessities anymore.",148,Juvenile Fiction,en
0892960728,The Second Mouse,,Archer Mayor,"Hachette Digital, Inc.",2006,"Called to the scene of a young woman's supposed suicide, Joe Gunther becomes suspicious about the death, but his investigation is hampered by the local medical examiner, who is faced with troubles of her own, and by a trio of dangerous criminals on a crime spree.",292,Fiction,en
039471203X,Stomping the Blues,,Albert Murray,Vintage,1982,The legendary study of the blues by one of America's premier writers and critics.,282,Blues (Music),en
1577491319,The Underground Guide to Teenage Sexuality,An Essential Handbook for Today's Teens and Parents,Michael J. Basso,,2003,"Presents facts about human sexuality, including anatomy, sexually transmitted diseases, contraception, homosexuality, and sexual intercourse.",312,Juvenile Nonfiction,en
014044260X,The Chouans,,Honoré de Balzac,Viking Press,1972-01,"""The Chouans, "" the first volume in Balzac's magnificent novel sequence ""La Comedie Humaine, "" is the tale of the Royalist uprising in Brittany against the post-revolutionary republic.",389,Fiction,en
0517585219,Name that Cat,"Over 1,000 Inventive and Colorful Names",Doug Cassidy,Three Rivers Press,1992,"A collection of names for felines features the history, origin, and myth surrounding each name and includes names from myth, literature, sports, and popular culture. Original. 25,000 first printing.",118,Pets,en
067400079X,The Law of Peoples,With “The Idea of Public Reason Revisited”,John Rawls,,1999,"This book consists of two parts: “The Law of Peoples,” a major reworking of a much shorter article by the same name published in 1993, and the essay “The Idea of Public Reason Revisited,” first published in 1997. Taken together, they are the culmination of more than fifty years of reflection on liberalism and on some of the most pressing problems of our times by John Rawls. “The Law of Peoples” extends the idea of a social contract to the Society of Peoples and lays out the general principles that can and should be accepted by both liberal and non-liberal societies as the standard for regulating their behavior toward one another. In particular, it draws a crucial distinction between basic human rights and the rights of each citizen of a liberal constitutional democracy. It explores the terms under which such a society may appropriately wage war against an “outlaw society” and discusses the moral grounds for rendering assistance to non-liberal societies burdened by unfavorable political and economic conditions. “The Idea of Public Reason Revisited” explains why the constraints of public reason, a concept first discussed in Political Liberalism (1993), are ones that holders of both religious and non-religious comprehensive views can reasonably endorse. It is Rawls’s most detailed account of how a modern constitutional democracy, based on a liberal political conception, could and would be viewed as legitimate by reasonable citizens who on religious, philosophical, or moral grounds do not themselves accept a liberal comprehensive doctrine—such as that of Kant, or Mill, or Rawls’s own “Justice as Fairness,” presented in A Theory of Justice (1971).",216,Philosophy,en
044921849X,French Kiss,,Eric Lustbader,Fawcett,1990,"The murderous search for the Prey Dauw is on--the trio of weapons so imbued with mythic power that it is said whoever possesses them can dominate Indochina and control its opium. Two men have aleady been murdered for the Pray Duaw, and now their brothers, New York lawyer, Chris Haye, and NYPD detective Steve Guarda, are ready to face the savage madman who will stop at nothing to destroy them. ""Suspense that is sustained to the final page."" LOS ANGELES TIMES",516,Indochina,en
0684838966,Tommy and Me the Making of a Dad,,Benjamin Stein,,1998,"A heartfelt book that describes the growth of love and trust between a new father and his adopted son--moving, poignant, yet fueled by the author's trademark dry wit.",174,Adopted children,en
1577193679,Sophia Loren's Recipes and Memories,,Sophia Loren,Gt Publishing Corporation,1998,Stills from the Italian actress' films and photographs from her personal collection accompany a collection of her favorite recipes,209,Cooking,en
0738203467,Not Your Mother's Life,"Changing The Rules Of Work, Love, And Family",Joan Peters,Da Capo Lifelong Books,2001-04-19,"The next generation of women want a career and a life, but they don't know how to get both. Having watched the boomer generation, they know they don't want their options: sacrificing family life for high-powered careers or consigning themselves to the ""mommy track.""Not Your Mother's Life shows how today's young women are uniquely poised to reach out and take-or create-the work/life balance that proved so elusive for the boomers. The key, Peters argues, is for women to use their newfound economic power to choose their lives instead of letting their lives choose them. Not only can they decide on the career, the company, and the workday they want, they can choose a spouse who shares their goals and will shape their relationship to support them. Full of real-life examples of women who are doing it their own way, Not Your Mother's Life offers this new generation a vision of how to remake the work world according to their own needs-ultimately benefiting women and men.",346,Psychology,en
0697098273,Physical Geology,,"Charles C. Plummer, David McGeary","McGraw-Hill Science, Engineering & Mathematics",1991,"An introduction to geology for both majors and nonmajors. The organization of the text is traditional and matches the organization of most lab manuals. For this edition (5th ed., 1991), major revisions have been made in the introductory chapter and in the chapters on igneous rocks, plate tectonics, and mountains, and new photos are used throughout. Annotation copyright by Book News, Inc., Portland, OR",568,Physical geology,en
0812923278,The Great Depression,America 1929-1941,Robert S. McElvaine,Crown,1993-12-06,"One of the classic studies of the Great Depression, featuring a new introduction by the author with insights into the economic crises of 1929 and today. In the twenty-five years since its publication, critics and scholars have praised historian Robert McElvaine’s sweeping and authoritative history of the Great Depression as one of the best and most readable studies of the era. Combining clear-eyed insight into the machinations of politicians and economists who struggled to revive the battered economy, personal stories from the average people who were hardest hit by an economic crisis beyond their control, and an evocative depiction of the popular culture of the decade, McElvaine paints an epic picture of an America brought to its knees—but also brought together by people’s widely shared plight. In a new introduction, McElvaine draws striking parallels between the roots of the Great Depression and the economic meltdown that followed in the wake of the credit crisis of 2008. He also examines the resurgence of anti-regulation free market ideology, beginning in the Reagan era, and argues that some economists and politicians revised history and ignored the lessons of the Depression era.",449,History,en
0373711778,The Fake Husband,,Lynnette Kent,Harlequin Books,2005,"No one knew that Jacquie Archer had been keeping a secret--not even her daughter, Erin. But now Jacquie has to come clean--she never had a husband. She made him up as a cover for the biggest mistake of her life--her affair with Rhys Lewellyn. Jacquie's confession is a surprise to everyone, including Rhys. Now, he's making up for lost time--with his daughter and the woman he's never forgotten.",308,Romance fiction,en
0688051154,Voyages of Discovery,Captain Cook and the Exploration of the Pacific,Lynne Withey,William Morrow,1987,"Makes use of recent scholarship in such disciplines as history, anthropology, art history, and literary criticism to place Captain James Cook in the broader context of Pacific exploration.",522,Oceania,en
0385176066,The Yan Can Cook Book,,Martin Yan,"Toronto, Ont. : Doubleday Canada ; Garden City, N.Y. : Doubleday",1981,"A comprehensive compendium of over 200 carefully tested recipes, lavishly illustrated with diagrams, drawings, cartoons, and photographs.",372,"Cookery, Chinese",en
0684857278,Mall,A Novel,Eric Bogosian,,2000,"""This novel is about five suburbanites whose lives intersect in one violent and life-altering night at the local mall.""--Jacket.",264,Drug addicts,en
0312261551,Extra Nutty! Even More Letters from a Nut!,,Ted Nancy,Macmillan,2000-06-14,"Welcome to the world of Ted L. Nancy. Some have called him inspired, some have called him a goofball, and many have wondered who Ted really is. All we know is that Ted loves to write and it shows-Extra Nutty! is chock full of nut, a record of real live correspondence from America's favorite pen pal to a cross-section of this great nation. Extra Nutty! is bursting with all new letters showing Ted at his looniest. Take, for example, this: Dear Business Permits Dept.: I want to apply for a business permit in your fine city...I operate the Soup & Sleep Restaurants. You can either order soup or sleep. A hostess will greet you and you would say, ""I'd like to sleep."" She will lead you to a table where you can catch a few winks. Or this: Dear Helena Ocean & Dog Licensing Dept: I will stage the play ""Mark Twain with Tourette's Syndrome."". . . Let me know what arrangements I need to make to store my anchovie tank at your seaport. Thank you. I await large crowds. Or even this: Dear Kmart: I have invented a male underpants liner...This liner fits right in your shorts and can be thrown away after 15 weeks. I have been wearing the same pair of underwear for 105 days now and although they feel a little stretchy they are perfectly clean. Ted's unique way of looking at the world-and how the world responds to Ted's schemes--is captured here in this extra nutty, hugely hilarious collection.",244,Humor,en
0821753029,Dream Warrior,,Elaine Barbieri,Zebra Books,1995-09,"A life alone on the sprawling plains of Kansas has turned Lila Chesney into a woman as unpredictable and unsettled as the land she calls home - a woman of strong character, powerful will, and indomitable spirit. But it is her trusting heart that is put to the test when cruel fate and a band of desperadoes draw her beloved brother into a perilous life as the wild west's Number one outlaw.",460,Kansas,en
0195091000,How Buildings Work,The Natural Order of Architecture,Edward Allen,"Oxford University Press, USA",1995,Explains in simple nonmathematical terms the underlying principles of good design for buildings.,0,Architecture,en
0373833660,Against All Odds,,Elizabeth Gage,Harlequin Books,1998-07-24,"A trio of determined women triumph over the odds in three full-length novels--""A Stranger to Love, Number One"" and ""Intimate"".",0,"Romance fiction, American",en
0747512582,The God-fearer,,Dan Jacobson,Bloomsbury Publishing,1992,"In Europe the God-fearers, drawing their beliefs from the Yehudim of ancient times, have prevailed. The Christers are nothing more than a feared and despised minority, treated as public scapegoats, blamed for plague, famine and other misfortunes. ""Hidden in the Heart"" is the author's previous book.",160,English fiction,en
0425189244,Savage Run,,C. J. Box,Penguin,2003,"Wyoming game warden Joe Pickett heads for the forests of Twelve Sleep County to investigate a massive explosion that may have killed a colorful environmental activist and uncovers evidence of a deadly conspiracy that challenges his courage, survival skills, and ethics. Reprint.",308,Fiction,en
0140585265,The Penguin Book of Irish Verse,,Brendan Kennelly,Penguin (Non-Classics),1981,"""In this fine selection Brendan Kennelly has chosen to emphasize the fusion of Irish and Anglo-Irish poetry, with the beauty of many Gaelic poems rendered into eloquent English by Frank O'Connor""--Back cover.",488,English poetry,en
0671872613,The Lost Mind,,Christopher Pike,Simon & Schuster Books For Young Readers,1995,She didn't know what she had done. She awoke in the woods beside a dead body with a knife in her hand and blood on her clothes. Had she killed the young woman beside her? She couldn't remember remember anything--not even her own name. It was as if someone had stolen her mind--stolen her soul.,0,Horror stories,en
0792272269,Our Country's Presidents,,Ann Bausum,National Geographic Kids,2001,"From George Washington to Bill Clinton, this guide to the lives of the 42 Presidents of the United States provides in-depth text and historic images that combine to make this volume the definitive family reference on our nation's leaders. Foreword by the nation's 43rd president, George W. Bush. Illustrations.",0,Presidents,en
096757711X,A Journey of My Choosing,Traveling the Creative Path of Life,Phyllis Carrera,Humanarts,2003-08,"In a womans evocative solo journey around the world, readers are guided along a path of creative life-change and gifted with souvenirs of self-discovery --mementos of personal growth that awaken their passion and free them from habitual, unfulfilling lives. Weaving together an exquisite tapestry of dramatic foreign landscapes, mysterious coincidences, romantic interludes, and formidable undertakings, readers are encouraged to risk the unknown, break free from confinement, and stop settling for less than they truly deserve.",208,,en
0345366247,Raise Your Right Hand Against Fear,Extend the Other in Compassion,Sheldon Kopp,,1990,"A guide to confronting and managing fear explores the question of when to put fears aside and push on, the value of some fears, sharing fears with loved ones, and the relief of disclosing fear",160,Psychology,en
0373650213,That Mysterious Texas Brand Man,,Maggie Shayne,Silhouette,1998-10-23,"Having lost everyone he loved, Marcus Brand dares not love again, for he knows all too well the pain of loving and losing. By hiding behind his secret identity as the hero known as The Guardian, he protects the people of his city, as well as his heart. But the very enticing Casey Jones is one woman who may pose a threat to Marcus's protected secrets!",0,Texas,en
0394835654,Flap Your Wings,,Philip D. Eastman,Random House Books for Young Readers,1985,"A little boy puts an alligator egg in Mr. and Mrs. Bird's nest, but when it hatches, they have trouble teaching it to fly",36,Alligators,en
0345336585,The Grand Miracle,And Other Selected Essays on Theology and Ethics from God in the Dock,C. S. Lewis,Ballantine Books,1986-01-12,"“Captivating reading that builds the faith while it fills the mind with greatness.”—Sherwood Wirt, former editor, DECISION Magazine One of this century's greatest writers of fact, fiction, and fantasy explores, in utterly beautiful terms, questions of faith in the modern world: • On the experience of miracles • On silence and religious belief • On the assumed conflict between work and prayer • On the error of trying to lead “a good life” without Christ • On the necessity of dogma to religion • On the dangers of national repentance • On the commercialization of Christmas . . . and more “The searching mind and the poetic spirit of C.S. Lewis are readily evident in this collection of essays edited by his one-time secretary, Walter Hopper. Here the reader finds the tough-mind polemicist relishing the debate; here too the kindly teacher explaining a complex abstraction by means of clarifying analogies; here the public speaker addressing his varied audience with all the humility and grace of a man who knows how much more remains to be unknown.”—The New York Times Book Review",178,Philosophy,en
0942320441,The Kitchen Companion,,Polly Clingerman,,1994,"""The Kitchen Companion"" profiles over 100 master recipes for sauces, soups, dinners and desserts. Complete with homemade seasoning mixtures, roasting and grilling charts, and 400 substitions and equivalents, the book contains all the kitchen knowledge a cook really needs.",0,Cookery,en
0192815377,Life of Johnson,,James Boswell,"Oxford University Press, USA",1980,This minute account of the life of the great eighteenth-century thinker and writer is probably the most famous biography in the English language.,1534,"Authors, English",en
1576106179,HTML Black Book,,Steven Holzner,Coriolis Group Books,2000,"Bestselling computer book author Steven Holzner covers HTML 4.0 programming thoroughly--from the essentials to issues of security, from XML to CGI programming. The handy reference is a comprehensive answer source, rather than a diffuse tutorial, for serious programmers who want to see difficult material covered in depth without the fluff.",0,HTML (Document markup language),en
0061001414,Red Spider,,Charlie McDade,Harpercollins,1991-01-01,"Brian O'Hara, a former OSS operative living in Italy, leaves his passionate political ideals behidn to pursue his love of Italian literature. But his scholarly existence is disrupted when he is forced back into the dealy world of covert operations. McDade is the author of five weaterns and several novels, including The Gulf and Almost Dark.",368,Fiction,en
0747553122,Deliver Us from Evil,Warlords & Peacekeepers in a World of Endless Conflict,William Shawcross,Bloomsbury Paperbacks,2001,"We have all seen press and television pictures of winding lines of refugees in Africa or on mountain passes in Europe and felt that 'something must be done'. In this urgent new book William Shawcross reveals what lies behind decisions by the 'international community' to intervene in a situation on humanitarian grounds, and what happens when the troops and aid agencies move in. It is a story of noble aspirations and often ignoble real politik. To tell the story of international peacekeeping in the last ten years Shawcross has travelled to the war zones and talked to global policy-makers, leading diplomats and key humanitarian aid officials in Afghanistan, Angola, Cambodia, Bosnia, Iraq, Kosovo, Somalia, Nigeria, Rwanda, Sierra Leone and East Timor.",419,Humanitarian assistance,en
0805048782,Loving You Was My Undoing,A Novel,Javier Gonzalez-Rubio,Henry Holt and Company,1999-03-11,"No one in Mexico ever imagined the revolution would pass through Montreal. Not Frederico Farias, who had composed a quiet revolutionary life for himself in lectures and town meetings, far from the battlefronts. Not Rosario Alomar, whose husband's life would in the senseless battle. Not even Valentin Cobelo, who, together with his men, chased down the federales in the town's cobbled streets. In the midst of a bloody revolution, desire unfurls between Rosario and Valentin. ""Passion can be smelled, like rainstorms--they warn you of their fury, but you can't stop them.""Loving You Was My Undoing is a tour de force--an unforgettable story of fervent longing and of wishes carved in the air that might have gone better unanswered.",160,Fiction,en
0140131825,Happy to Be Here,,Garrison Keillor,Penguin Books,1990-04-01,"“Keillor’s best stuff is clean (in the sense that lines are clean), down to earth, exquisitely good-hearted, highly ludicrous, and as labored as nitrous oxide…. This book will either leave you dumbfounded or happy—almost deservedly happy—to be anywhere” —The New York Times Book Review “His humor is cerebral and complex, a blend of romance and nostalgia; it sparklingly parodies the American (and human) condition…. His stories and satires glow with a sense of time and place.” —The Washington Post",294,Fiction,en
0073661325,International Marketing,,Philip R. Cateora,,1999,""" ... Coverage of technology's impact on the international market arena and a more comprehensive website, helping to provide updates to text content in this continually changing field.""--Publisher description.",0,Entreprises multinationales,en
006105769X,The Thief of Always,,Clive Barker,Eos,1997-01-23,"After a mysterious stranger promises to end his boredom with a trip to the magical Holiday House, ten-year-old Harvey learns that his fun has a high price.",244,Fantasy,en
0394891732,Monkey-Monkey's Trick,Based on an African Folktale,Pat McKissack,Random House Books for Young Readers,1988,A greedy hyena's mean tricks on Monkey-Monkey eventually backfire when his victim finds out how he is being deceived.,0,Hyenas,en
0814479995,"Our Money, Ourselves",Redesigning Your Relationship with Money : a Self-help Guide,"C. Diane Ealy, Kay Lesh",AMACOM/American Management Association,1999,A guide that will help women build a more positive and productive relationship with money,235,Business & Economics,en
1557865663,The Sioux,The Dakota and Lakota Nations,Guy Gibbon,John Wiley & Sons,2002-12-13,"This book covers the entire historical range of the Sioux, from their emergence as an identifiable group in late prehistory to the year 2000. The author has studied the material remains of the Sioux for many years. His expertise combined with his informative and engaging writing style and numerous photographs create a compelling and indispensable book. A leading expert discusses and analyzes the Sioux people with rigorous scholarship and remarkably clear writing. Raises questions about Sioux history while synthesizing the historical and anthropological research over a wide scope of issues and periods. Provides historical sketches, topical debates, and imaginary reconstructions to engage the reader in a deeper thinking about the Sioux. Includes dozens of photographs, comprehensive endnotes and further reading lists.",338,History,en
1564581128,Butterfly,,Mary Ling,DK Publishing (Dorling Kindersley),1992,Follows in text and photographs the metamorphosis of the butterfly.,0,Butterflies,en
0747257213,The Book of Dead Authors,,Emlyn Rees,Headline Review,1998,"A vicious killer hunts down authors and kills them in carefully chosen ways ""in a long and grisly narrative of revenge.""--Cover.",280,Revenge,en
0688067700,Fat Tuesday,,Earl W. Emerson,William Morrow & Company,1987-01-01,"During the excitement of Fat Tuesday, Seattle's carnival celebration, Thomas Black investigates the brutal murder of a computer software company executive, an investigation that culminates in a breathtaking chase up the famous Space Needle",285,"Black, Thomas (Fictitious character)",en
0451197445,A Clandestine Courtship,,Allison Lane,Signet,1998-12-16,"Brought back to England to assume the duties of his murdered twin brother, James, the new earl of Ridgeway, is reunited with his widowed former love, Mary Layton, but his late brother's dastardly repution could destroy their growing relationship. Original.",220,Fiction,en
0689867026,Nemesis,,"Scott Ciencin, Denise Ciencin",Simon and Schuster,2004,"Even if it takes an eternity, he will make amends. Weakest link When an old friend from graduate school contacts Fred for help with her job at a top scientific facility, Fred feels a mixture of dread about renewing ties to her past and wistfulness for the quiet life she might have led entrenched in her research. But the night they are supposed to meet, her friend is gunned down, the seemingly innocent victim of a mob hit gone wrong. Fred is inconsolable. Although Angel and the others want to help, they have been called upon to solve a rash of murders among a group of wizards. These wizards are the only ones preventing an apocalyptic breach of the walls separating our reality from other, more-deadly worlds. Fred decides to leave the investigation and take her friend's place as a researcher in order to uncover the truth behind her murder. But when the worlds of scientific research and the supernatural collide, Fred may be the only one who can solve the case and stop the coming apocalypse.",404,Fiction,en
0307171434,Windy Won't Practice,,Tracey West,Golden Books,2001,"When Windy won't practice the spells she learns at Abracadabra Elementary School, she brews up trouble instead. Includes a set of trading cards. Illustrations. Consumable.",0,Magic,en
0375411089,Skinny Dip,,Carl Hiaasen,Knopf,2004,"A hilarious, full-throttle, pure Hiaasen ride through the warped politics and mayhem of the human environment, and the human heart.",376,Fiction,en
0590881930,Nowhere Land,,K. A. Applegate,Scholastic Paperbacks,2002,"Jobs, 2Face, Mo'Steel and the others discover that the ship they are now living on is trying to destroy them through beautiful, horrifying, and dangerous images, and the only way the Remnants can stay alive is by working together.",169,Juvenile Fiction,en
0460044125,Tudor Music,,David Wulstan,London : J.M. Dent,1985,"This wide-ranging and comprehensive study includes discussion of street and minstrel music, court and household music, music for organ and virginals, for the Prayer Books of Edward VI, and the Latin music of Mary and Elizabeth. David Wulstan brings together all the well-known composers such as Tallis, Byrd, Gibbons and Taverner, plus many of the less well-known names. He deals extensively with the question of interpretation for performance, giving his own opinions on the problems of pitch, notation and editing music. -- Book jacket.",392,Music,en
0263173089,Innocent Secret,,Josie Metcalfe,,2002,"Nurse Vicky Lawrence knows that her feelings for Dr. Joe Faraday were responsible for the breakup of her engagement, yet every time she gets close, Joe backs off. She knows some emotional trauma is holding him back, but what?",0,Large type books,en
1400060869,Present Value,A Novel,Sabin Willett,Villard Books,2003,"The story of a power couple whose lives go astray, this clever, funny, energetic novel is a postmillennial snapshot of America by the author of ""The Deal"" and ""The Betrayal.""",0,Boston (Mass.),en
0340717637,Snap Happy,,Fiona Walker,,1998,"Juno is voluptious, hedonistic, sexy, funny (she's slowly building up a reputation as a stand-up comic) and terminally untidy. The last thing she needs is an uptight, teetotal, anal compulsive flatmate. But that's what she gets when her brother sends his American photographer pal to use his London apartment. It looks like a recipe for disaster but blossoms into an unlikely romance.",566,Roommates,en
0896584593,The Art of Outdoor Photography,,Boyd Norton,Voyageur Press,2002-05-13,"With ""The Art of Outdoor Photography"", Norton has created a comprehensive volume on the art and technique of outdoor shooting. Tips on lenses, shutter speed, depth of field, and lighting are presented for professionals and experienced amateurs alike. This popular book has been revised and updated with a major revision to the films and filters material; films and filters mark the greatest advance in photography over the past few decades.",192,Photography,en
0684800322,Terrestrials,Novel,Paul West,Scribner Book Company,1997,"Booth and Clegg, American spy-plane pilots, find themselves in a different world when they are shot down over Saharan Africa.",390,Adventure stories,en
0553379372,Jefferson,A Novel,Max Byrd,Bantam,1993,"In ""the best fictionalized life of Jefferson yet"" (Jack McLaughlin, National Book Award finalist for ""Jefferson and Monticello""), Byrd offers a rare glimpse behind the face this complex Virginian showed the world, dispelling the myths to reveal the passionate and elusive figure whose words and imagination may be said to have invented America. 432 pp. National print ads. 20,000 print. Copyright © Libri GmbH. All rights reserved.",449,Biographical fiction,en
0385317379,The Watsons Go to Birmingham--1963,,Christopher Paul Curtis,Doubleday Books,1995,"The ordinary interactions and everyday routines of the Watsons, an African American family living in Flint, Michigan, are drastically changed after they go to visit Grandma in Alabama in the summer of 1963.",232,African American families,en
0449207552,Break in,,Dick Francis,Fawcett Books,1987,"Successful steeplechase jockey Christmas ""Kit"" Fielding finds himself attacked, chased, kidnapped, and knifed when he comes to the aid of his twin sister Holly and her husband, Bobby Allardeck, star-crossed lovers",386,Fiction,en
0345388143,England as You Like it,An Independent Traveler's Companion,Susan Allen Toth,,1995,"The author's journaling of her explorations through England (as well as parts of Scotland), with responses to hundreds of travelers' questions and dilemmas; journeys to enchanting gardens, a fairy-tale castle, charming villages, varied countryside, etc., with advice on planning an itinerary, becoming your own travel agent, buying and using the best maps, how to pack, and names and addresses of helpful travel resources.",262,England,en
0786866470,When My Sister Was Cleopatra Moon,,Frances Park,Miramax Books,2000-04-05,This enchanting novel about the bond between sisters growing up first-generation Korean-American conveys the struggles of maintaining familial bonds between cultural divides.,274,Fiction,en
0843938277,Sabrina Kane,,Will Cook,,1995-08-01,"Pursued by two men, one her dead husband's kin and one a rugged frontiersman, Sabrina Kane, a spirited young widow, struggles to survive in frontier Illinois while caring for her despondent father. Original.",288,Fiction,en
0786860405,The Secret Life of Laszlo,Count Dracula,Roderick Anscombe,Hyperion Books,1994-09-09,"An erotic reimagining of the myth of Dracula presents an all-too-human Count, a beloved doctor obsessed with possessing and destroying young women, whose self-loathing only drives him on to bloodier outrages.",424,"Dracula, Count (Fictitious character)",en
1853262358,The Winter's Tale,,William Shakespeare,Wordsworth Editions,1995,"The Winter's Tale is Shakespeare's most perfectly realized tragi-comedy, as notable for its tragic intensity as for its comic grace and, throughout, for the richness and complexity of its poetry. It concludes, moreover, with the most daring and moving reconciliation scene in all Shakespeare's plays.",164,Drama,en
042514433X,Nostradamus,The Next 50 Years : a New Translation,"Peter Lemesurier, Nostradamus",Berkley Trade,1994,Bestselling author Peter Lemesurier deciphers Nostradamus's centuries-old verses to predict what the next millennium will bring. He unravels the seer's riddles to unearth events that will affect the lives of people today and the lives of generations to come.,308,Prophecies,en
0044422814,Oceana Fine,,Tom Flood,,1989,"A bold new novel which is part whodunit, part psychological thriller, part magical fantasy, charting the lives and decreasing fortunes of the Cleaver family.;",261,,en
075001203X,A Warlock in Whitby,,Robin Jarvis,,1992,"The death of the witch has released a new and more hideous foe for Miss Boston, Jennet and Ben to overcome.",321,Fantasy,en
0786881011,The Lost Get Back Boogie,,James Lee Burke,Hyperion,1995-10-19,"Recently paroled from prison, Iry Paret, a young Louisiana blues musician, settles in with fellow ex-convict Buddy Riordan and Riordan's family on a sprawling Montana ranch and becomes drawn into a tragic conflict involving the family and their neighbors. Reprint.",244,Fiction,en
067084148X,Trouble,,Fay Weldon,,1994,"Annette Horrocks has every reason to be happy. She lives in a lovely London house with her devoted husband, Spicer; her first novel is about to be published; and after ten years of trying, she is finally pregnant. But Spicer is cruel and distant. He used to dismiss psychiatry, yet now he spouts New Age astrology and accuses Annette of murdering his inner child. Worse, Annette's friend Gilda discloses that Spicer is having an affair. Annette thinks she is going mad, and that's not even the end of it. Trouble is fay Weldon's bracing, enticing return to the vengeful mode of The Life and Loves of a She-Devil--and a reminder that, while marriage has been a nightmare through the ages, now husbands have psychiatrists to make it worse.",244,Domestic fiction,en
0451209583,Once a Ranger,,Stan Johnson,Signet,2003,"This debut from a former United States Army JAG Corps captain introduces former Army Ranger David Craig, whose son is kidnapped by armed assailants. When police come up empty, Craig contacts his Ranger buddies. Original.",404,Fathers and sons,en
